"STATE","LGA","January","February","March","April","May","June","July","August"
"Benue","Ado",13.2,13.2,13.9,15.4,18.7,23.1,26.6,31.5
"Benue","Agatu",13.4,13.2,13.6,15,18.1,22.5,26.3,31.8
"Benue","Apa",13.6,13.2,13.6,14.9,18.1,22.6,26.6,32
"Benue","Buruku",13.2,13,13.5,15,18.3,22.7,26.4,31.9
"Benue","Gboko",13.1,12.8,13.2,14.5,17.6,21.7,25.2,30.5
"Benue","Guma",13.2,12.8,12.9,14.2,17.2,21.4,25.5,31.5
"Benue","Gwer East",13.7,13.3,13.5,14.8,17.8,21.9,25.6,31.2
"Benue","GwerWest",14.1,13.7,13.7,14.9,18,22.2,26.3,32.2
"Benue","Katsina (Benue)",12.9,12.9,13.7,15.3,18.7,23.2,27,32.3
"Benue","Konshish",13.5,13.4,14,15.4,18.6,22.8,26.2,31.2
"Benue","Kwande",14.3,14.6,15.2,16.1,17.9,20.3,22.3,25.4
"Benue","Logo",13.6,13.2,13.4,14.6,17.7,21.9,26.1,32.2
"Benue","Makurdi",13.3,12.9,12.9,14.1,17,21,25.2,31.2
"Benue","Obi",13.7,13.5,14.2,15.7,18.9,23.4,26.9,32
"Benue","Ogbadibo",12.5,12.2,12.8,14.1,17,21.1,24.6,29.5
"Benue","Ohimini",13.6,13.1,13.3,14.6,17.6,21.7,25.4,30.7
"Benue","Oju",13.6,13.6,14.2,15.6,18.6,22.8,26.1,30.9
"Benue","Okpokwu",13.1,12.8,13.2,14.5,17.5,21.7,25.3,30.3
"Benue","Oturkpo",13.7,13.3,13.6,14.9,17.9,22.1,25.9,31.4
"Benue","Tarka",12.9,12.5,12.8,14.1,17.2,21.3,25.1,30.8
"Benue","Ukum",12.2,11.9,12.4,13.9,17.1,21.4,25.2,30.8
"Benue","Ushongo",13.1,13.1,13.7,15.1,18.1,22.3,25.6,30.4
"Benue","Vandeiky",13.2,13.2,13.5,14.3,16.2,18.9,21.2,24.6
