"STATE","LGA","March","April","May","June","July","August","September","October"
"Cross River","Abi",15.6,16.7,18.6,20.7,22.4,24.9,28.5,31.8
"Cross River","Akamkpa",21.7,23.2,25.8,28.4,30.6,33.6,38,41.8
"Cross River","Akpabuyo",20,21,23,25.1,26.8,29.3,33,36
"Cross River","Bakassi",22.6,23.7,25.8,28,29.7,32.2,36.2,39.5
"Cross River","Bekwarra",11.9,12.9,14.5,16.3,17.9,20.4,24.2,27.8
"Cross River","Biase",19.4,20.8,23.1,25.5,27.5,30.4,34.7,38.4
"Cross River","Boki",19.2,20.8,23.2,25.8,28,31.1,35.6,39.7
"Cross River","Calabar",19.5,20.6,22.7,24.9,26.6,29.2,33.1,36.4
"Cross River","Etung",20.2,21.8,24.2,26.8,28.8,31.8,36,39.6
"Cross River","Ikom",19,20.4,22.8,25.3,27.4,30.6,35.2,39.4
"Cross River","Obanliku",17.1,18.6,20.9,23.2,25.1,27.8,31.6,35.3
"Cross River","Obubra",18.2,19.5,21.7,24.2,26.2,29.3,33.7,37.7
"Cross River","Obudu",15.7,17,19.1,21.3,23.1,25.8,29.6,33.3
"Cross River","Odukpani",21.7,23.1,25.5,28.1,30.2,33.3,37.7,41.5
"Cross River","Ogoja",14.8,15.9,17.9,19.9,21.8,24.7,28.8,32.8
"Cross River","Yakurr",18,19.3,21.5,23.8,25.7,28.6,32.6,36.2
"Cross River","Yala Cross",12.9,13.9,15.6,17.5,19.3,22.1,26.1,29.9
