"STATE","LGA","October","November","December","January","February","March","April","May"
"Delta","AniochaN",19.9,20.6,21.2,22.1,22.4,23.8,25.9,30.1
"Delta","AniochaS",20.1,20.9,21.6,22.5,22.8,24.1,26.3,30.5
"Delta","Bomadi",19.7,21.3,23.2,25.4,26.5,27.5,29.1,31.9
"Delta","Burutu",19.8,21.4,23.2,25.5,26.7,27.6,29,31.7
"Delta","Ethiope West",19.2,20,20.8,22.2,23.1,24.5,26.8,31
"Delta","EthiopeE",19.2,20,20.9,22.1,22.7,23.8,26.1,30.4
"Delta","IkaNorth",19.9,20.7,21.4,22.3,22.8,24.3,26.5,30.9
"Delta","IkaSouth",19.8,20.6,21.2,22.1,22.9,24.5,26.9,31.6
"Delta","IsokoNor",19,19.8,20.6,21.8,22.9,24.3,26.5,31
"Delta","IsokoSou",19.1,20.1,21.2,22.7,23.7,25,26.9,30.5
"Delta","Ndokwa East",18.9,19.9,20.7,21.9,22.7,24,26,30.2
"Delta","Ndokwa West",18.9,19.7,20.3,21.3,22.5,24.1,26.3,30.9
"Delta","Okpe",19.4,20.5,21.7,23.3,23.6,23.8,25.2,28.8
"Delta","Oshimili North",20,20.8,21.4,22.3,22.4,23.5,25.6,29.6
"Delta","Oshimili South",20.2,21,21.8,22.7,22.8,23.9,25.9,29.9
"Delta","Patani",19.1,20.7,22.4,24.6,25.6,26.4,27.9,30.7
"Delta","Sapele",19.5,20.6,21.9,23.6,24.1,24.5,25.9,29.4
"Delta","Udu",19.5,20.5,21.7,23.5,24.2,24.9,26.2,28.6
"Delta","Ughelli North",19.1,20.1,21.1,22.6,23.5,24.8,26.8,30.6
"Delta","Ughelli South",19.6,20.9,22.3,24.3,25.4,26.5,28.1,30.8
"Delta","Ukwuani",19,19.8,20.4,21.5,22.8,24.4,26.7,31.3
"Delta","Uvwie",19.6,20.7,21.9,23.7,24.4,25,26.3,28.7
"Delta","Warri North",19.7,20.8,22,23.6,24.4,25.5,27.3,30.8
"Delta","Warri South",20,21.8,23.9,26.3,27.4,28.2,29.5,32.2
"Delta","Warri South-West",19.1,20.4,21.7,23.4,24,24.4,25.5,28.2
