"STATE","LGA","October","November","December","January","February","March","April","May"
"Ebonyi","Abakalik",8.9,9.2,9.5,10,10.4,11,12.1,14.2
"Ebonyi","Afikpo",7.8,8.2,8.5,8.9,9.1,9.7,10.6,12.5
"Ebonyi","AfikpoSo",7.9,8.4,8.7,9,9.3,9.8,10.7,12.6
"Ebonyi","Ebonyi",8.8,9.1,9.4,9.8,10,10.4,11.4,13.3
"Ebonyi","Ezza North",8.4,8.7,9,9.3,9.5,10,11,12.8
"Ebonyi","Ezza South",8.6,8.9,9.2,9.6,9.9,10.5,11.5,13.5
"Ebonyi","Ikwo",8.7,9.1,9.4,10,10.3,10.9,11.9,14
"Ebonyi","Ishielu",8.4,8.7,8.9,9.3,9.3,9.7,10.6,12.3
"Ebonyi","Ivo",7.9,8.3,8.7,9,9.3,9.8,10.7,12.6
"Ebonyi","Izzi",8.8,9.2,9.4,9.9,10,10.5,11.5,13.4
"Ebonyi","Ohaozara",7.9,8.3,8.6,9,9.1,9.7,10.6,12.4
"Ebonyi","Ohaukwu",8.7,9,9.3,9.7,9.7,10.1,11,12.8
"Ebonyi","Onicha",8.3,8.6,8.9,9.3,9.5,10,10.9,12.7
