"STATE","LGA","December","January","February","March","April","May","June","July"
"Edo","Akoko-Ed",16.3,16.8,16.7,17.4,19.3,23.1,27.5,31.5
"Edo","Egor",17.6,18.5,18.5,18.5,19.3,21.4,24,26.6
"Edo","EsanCent",15.3,15.8,15.9,16.7,18.6,22.2,26.7,30.6
"Edo","EsanNort",14.9,15.3,15.2,15.9,17.7,21.1,25.5,29.5
"Edo","EsanSout",15.4,15.9,15.7,16.4,18.2,21.6,26.1,30.2
"Edo","EsanWest",15.1,15.6,15.7,16.5,18.5,22.1,26.4,30.4
"Edo","Etsako Central",16.1,16.6,16.2,16.6,18.3,21.5,25.9,30.4
"Edo","EtsakoEa",16.3,16.9,16.6,17,18.8,22.4,26.9,31.4
"Edo","EtsakoWe",15.5,16,15.9,16.4,18.2,21.6,25.9,30
"Edo","Igueben",14.8,15.3,15.4,16.3,18.2,21.7,26.1,30.2
"Edo","Ikpoba-Okha",17,17.9,17.9,18,18.7,20.4,22.8,25
"Edo","Oredo Edo",17.4,18.4,18.3,18.2,18.5,19.9,21.8,23.6
"Edo","Orhionmw",15.5,16.2,16.4,16.9,18.4,21.3,24.6,27.7
"Edo","OviaNort",16.3,17,17.2,17.8,19.2,22,25.5,28.6
"Edo","OviaSouth-West",16.6,17.4,17.4,17.7,18.8,21.2,24.3,27.1
"Edo","Owan East",15.5,16,16,16.7,18.6,22.2,26.3,30.2
"Edo","OwanWest",15.1,15.6,15.7,16.4,18.1,21.4,25.3,28.9
"Edo","Uhunmwonde",14.8,15.4,15.6,16.4,18.3,21.7,25.8,29.5
