"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"July","Aninri","Enugu",5.56830213835877,5.98134978876072,6.67950263983163,7.41985418952004,8.04229760185956,9.01349593632923,10.4601181160775,11.8738986053038
"July","Awgu","Enugu",4.42961616712539,4.79794807522985,5.42334331119622,6.08096806214746,6.68921804806891,7.64882442406797,9.07964501373916,10.4097829407144
"July","Enugu East","Enugu",2.18775062338264,2.75424778266102,3.76269776311239,4.77661825673189,5.61617666190049,6.67436146078534,8.07559720053788,9.35629148305854
"July","Enugu North","Enugu",1.77458207184844,2.48564038271532,3.64836895902045,4.69886871850639,5.63910142345577,6.81069555124921,8.33894444413273,9.71933671556984
"July","EnuguSou","Enugu",1.88270860154115,2.5718237772171,3.65016972039471,4.64058068967261,5.48661248316782,6.5655918498004,7.98327289142317,9.25647473975503
"July","Ezeagu","Enugu",2.67233949209807,3.13192320370007,3.91939039549257,4.77088424127394,5.54210029541918,6.55785824581981,7.95072104913476,9.23336062507583
"July","Igbo-Eti","Enugu",2.20792797976995,2.68890836442281,3.63873444460529,4.69237949044964,5.52709483107564,6.57463971173355,7.96738796803196,9.25726564364158
"July","Igbo-eze North","Enugu",1.97838663241125,2.69970406471594,3.98430263983659,5.23122345474363,6.31715231758819,7.69057416656081,9.45688142826671,11.0087012765063
"July","Igbo-eze South","Enugu",2.02632327285369,2.68608713508455,3.8924425782869,5.11810314889081,6.24123789604017,7.62575611883095,9.38760204029678,10.963839073963
"July","Isi-Uzo","Enugu",2.93899798348581,3.32776782392449,3.9986881921081,4.80207565758821,5.53388170925601,6.47166114189418,7.76091539939392,8.99416882296189
"July","Nkanu East","Enugu",3.5178569369671,3.96325740438255,4.68389041428507,5.44986276370792,6.14514546514701,7.12253929187018,8.51588327606992,9.7972168385626
"July","Nkanu West","Enugu",2.09088173672169,2.75033271771101,3.78664831164592,4.73949168805189,5.56866479828699,6.63142339567556,8.0727130639171,9.30994792998233
"July","Nsukka","Enugu",1.93795552997499,2.50891580821463,3.61389875388824,4.76469106131535,5.70515693725998,6.87393068455907,8.39313951586668,9.77488869607537
"July","Oji-River","Enugu",3.8291447906686,4.20734662476783,4.8388530053521,5.51607129285511,6.18370679446134,7.15576456757718,8.55811177059605,9.85292526989221
"July","Udenu","Enugu",2.0732922534718,2.69141882191039,3.78799308627933,4.88874341887368,5.80706192213503,6.94418471250079,8.43706594084067,9.79723037522852
"July","Udi","Enugu",2.14689879968572,2.70368373386144,3.71115978895442,4.75853805493594,5.64580283760382,6.75874867277031,8.22853002605079,9.55084655482877
"July","Uzo-Uwani","Enugu",2.7603883023279,3.13260158933912,3.87253744100894,4.75984841903826,5.51546479226212,6.48585315437858,7.80841592721116,9.07389777212551
