"STATE","LGA","September","October","November","December","January","February","March","April"
"Ogun","Abeokuta South",8.2,8.6,9.1,9.4,9.9,10.2,10.7,11.7
"Ogun","AbeokutaNorth",8.4,8.8,9.1,9.4,10,10.4,10.9,12.1
"Ogun","AdoOdo/Ota",8.2,8.6,9.1,9.4,10,10.4,10.9,12
"Ogun","EgbadoNorth",8.8,9,9.3,9.6,10.2,10.6,11.1,12.3
"Ogun","EgbadoSouth",8.5,8.9,9.3,9.6,10.3,10.8,11.4,12.7
"Ogun","Ewekoro",8.1,8.5,9,9.3,10,10.5,11.1,12.3
"Ogun","Ifo",8.1,8.5,9.1,9.4,10,10.4,11,12.2
"Ogun","Ijebu North-East",8.1,8.6,9.2,9.5,10.1,10.5,11.2,12.4
"Ogun","IjebuEast",8.3,8.8,9.5,9.8,10.4,10.6,10.9,12
"Ogun","IjebuNorth",8.3,8.7,9.3,9.6,10.2,10.5,11.1,12.3
"Ogun","IjebuOde",8.2,8.6,9.2,9.5,10.1,10.4,11,12.3
"Ogun","Ikenne",8.2,8.6,9.1,9.4,9.9,10.2,10.7,11.8
"Ogun","Imeko-Afon",9,9.1,9.3,9.5,10,10.2,10.7,11.9
"Ogun","Ipokia",8.5,8.8,9.2,9.5,10.2,10.7,11.2,12.3
"Ogun","Obafemi-Owode",8.3,8.7,9.2,9.5,10,10.3,10.9,12
"Ogun","Odeda",8.5,8.8,9.2,9.4,10,10.3,10.9,12.1
"Ogun","Odogbolu",8.4,8.7,9.4,9.8,10.3,10.4,10.8,11.7
"Ogun","OgunWaterside",8.4,8.8,9.5,9.9,10.5,10.6,11,12.1
"Ogun","Remo-North",8.3,8.7,9.2,9.4,10,10.3,10.8,11.9
"Ogun","Shagamu",8.3,8.7,9.3,9.6,10.1,10.4,11,12.2
